Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id,line/ramp,speed
 , , , , , , , , , , , , , , , 
PARPETTE Victoria,FRA,F,10FRA04,36.5,0.0,0.0,1993.0,R,1.0,OpeF,07/25/2010,14.0,FRA3310,0.50@14.250,55.0
 , , , , , , , , , , , , , , , 
PARPETTE Victoria,FRA,F,10FRA08,34.0,0.0,0.0,1993.0,L,1.0,-17F,06/06/2010,4.0,FRA3002,4.00@16.000,55.0
 , , , , , , , , , , , , , , , 
PARPETTE Victoria,FRA,F,10FRA08,38.0,0.0,0.0,1993.0,L,2.0,-17F,06/06/2010,4.0,FRA3002,2.00@14.250,55.0
 , , , , , , , , , , , , , , , 
PARPETTE Victoria,FRA,F,10FRA08,34.0,0.0,0.0,1993.0,L,3.0,-17F,06/06/2010,4.0,FRA3002,4.00@16.000,55.0
 , , , , , , , , , , , , , , , 
PARPETTE Victoria,FRA,F,10FRA19,38.5,0.0,0.0,1993.0,L,1.0,Ope,08/22/2010,19.0,FRA8705,2.50@14.250,55.0
 , , , , , , , , , , , , , , , 
PARPETTE Victoria,FRA,F,10FRA19,32.5,0.0,0.0,1993.0,L,2.0,Ope,08/22/2010,19.0,FRA8705,2.50@16.000,55.0
 , , , , , , , , , , , , , , , 
PARPETTE Victoria,FRA,F,10FRA19,41.0,0.0,0.0,1993.0,L,3.0,Ope,08/22/2010,19.0,FRA8705,5.00@14.250,55.0
 , , , , , , , , , , , , , , , 
PARPETTE Victoria,FRA,F,10FRA25,41.5,0.0,0.0,1993.0,L,1.0,-21,09/26/2010,1.0,FRA3002,5.50@14.250,55.0
 , , , , , , , , , , , , , , , 
PARPETTE Victoria,FRA,F,10FRA25,35.0,0.0,0.0,1993.0,L,2.0,-21,09/26/2010,1.0,FRA3002,5.00@16.000,55.0
