Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id,line/ramp,speed
 , , , , , , , , , , , , , , , 
MONTGOMERY Darin,USA,M,11M999A,52.0,0.0,0.0,1971.0,L,1.0,M3,08/13/2011,5.0,USAM0156,4.00@12.000,55.0
 , , , , , , , , , , , , , , , 
MONTGOMERY Darin,USA,M,11S123R,55.5,0.0,0.0,1971.0,L,1.0,M3,07/10/2011,2.0,USAS0288,1.50@11.250,55.0
 , , , , , , , , , , , , , , , 
MONTGOMERY Darin,USA,M,11S139B,60.5,0.0,0.0,1971.0,L,1.0,M3,07/30/2011,4.0,USAS0288,0.50@10.750,55.0
 , , , , , , , , , , , , , , , 
MONTGOMERY Darin,USA,M,12S012R,60.5,0.0,0.0,1971.0,L,1.0,M3,10/29/2011,1.0,USAS0301,0.50@10.750,55.0
 , , , , , , , , , , , , , , , 
MONTGOMERY Darin,USA,M,12S012R,57.5,0.0,0.0,1971.0,R,2.0,M3,10/29/2011,1.0,USAS0301,3.50@11.250,55.0
