Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,site id
 , , , , , , , , , , , 
PAPAKUL Nikita,BLR,M,08BLR01,0.0,0.0,51.0,1987.0,L,1.0,06/29/2008,BLRMINSK
 , , , , , , , , , , , 
PAPAKUL Nikita,BLR,M,08BLR01,0.0,4700.0,0.0,1987.0,L,1.0,06/29/2008,BLRMINSK
 , , , , , , , , , , , 
PAPAKUL Nikita,BLR,M,08BLR01,0.0,0.0,50.9,1987.0,L,2.0,06/29/2008,BLRMINSK
 , , , , , , , , , , , 
PAPAKUL Nikita,BLR,M,08BLR01,0.0,4730.0,0.0,1987.0,L,2.0,06/29/2008,BLRMINSK
 , , , , , , , , , , , 
PAPAKUL Nikita,BLR,M,08BLR01,50.0,0.0,0.0,1987.0,L,2.0,06/29/2008,BLRMINSK
PAPAKUL Nikita,BLR,M,08BLR01,50.0,4730.0,50.9,1987.0,L,2.0,06/29/2008,BLRMINSK
 , , , , , , , , , , , 
PAPAKUL Nikita,BLR,M,08CHN001,0.0,0.0,40.2,1987.0,L,1.0,10/04/2008,CHNTIAN
 , , , , , , , , , , , 
PAPAKUL Nikita,BLR,M,08CHN001,0.0,4150.0,0.0,1987.0,L,1.0,10/04/2008,CHNTIAN
 , , , , , , , , , , , 
PAPAKUL Nikita,BLR,M,08CHN001,50.0,0.0,0.0,1987.0,L,1.0,10/04/2008,CHNTIAN
PAPAKUL Nikita,BLR,M,08CHN001,50.0,4150.0,40.2,1987.0,L,1.0,10/04/2008,CHNTIAN
 , , , , , , , , , , , 
PAPAKUL Nikita,BLR,M,08CHN001,0.0,7530.0,0.0,1987.0,L,2.0,10/04/2008,CHNTIAN
 , , , , , , , , , , , 
PAPAKUL Nikita,BLR,M,08CHN001,45.5,0.0,0.0,1987.0,L,2.0,10/04/2008,CHNTIAN
