Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id,line/ramp,speed
 , , , , , , , , , , , , , , , 
SKANDE Martin,SWE,M,11NOR001,45.0,0.0,0.0,1989.0,L,1.0,OpeM,07/03/2011,4.0,NORSLA,3.00@13.000,58.0
 , , , , , , , , , , , , , , , 
SKANDE Martin,SWE,M,11NOR001,40.0,0.0,0.0,1989.0,L,2.0,OpeM,07/03/2011,4.0,NORSLA,4.00@14.250,58.0
 , , , , , , , , , , , , , , , 
SKANDE Martin,SWE,M,11SWE008,40.0,0.0,0.0,1989.0,L,1.0,OpeM,07/10/2011,19.0,SWE0214,4.00@14.250,58.0
 , , , , , , , , , , , , , , , 
SKANDE Martin,SWE,M,11SWE008,41.0,0.0,0.0,1989.0,L,2.0,OpeM,07/10/2011,19.0,SWE0214,5.00@14.250,58.0
 , , , , , , , , , , , , , , , 
SKANDE Martin,SWE,M,11SWE008,36.5,0.0,0.0,1989.0,L,3.0,OpeM,07/10/2011,19.0,SWE0214,0.50@14.250,58.0
 , , , , , , , , , , , , , , , 
SKANDE Martin,SWE,M,11SWE008,43.5,0.0,0.0,1989.0,L,4.0,OpeM,07/10/2011,19.0,SWE0214,1.50@13.000,58.0
