Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id,line/ramp,speed
 , , , , , , , , , , , , , , , 
RAMOS ROQUE Pedro Nuno,POR,M,10ESP08,49.5,0.0,0.0,1964.0,L,1.0,45+M,10/10/2010,4.0,ESPSESEN,1.50@12.000,55.0
 , , , , , , , , , , , , , , , 
RAMOS ROQUE Pedro Nuno,POR,M,10ESP08,48.5,0.0,0.0,1964.0,L,2.0,45+M,10/10/2010,4.0,ESPSESEN,0.50@12.000,55.0
 , , , , , , , , , , , , , , , 
RAMOS ROQUE Pedro Nuno,POR,M,10ESP08,49.5,0.0,0.0,1964.0,L,3.0,45+M,10/10/2010,4.0,ESPSESEN,1.50@12.000,55.0
 , , , , , , , , , , , , , , , 
RAMOS ROQUE Pedro Nuno,POR,M,10E&A08,49.5,0.0,0.0,1964.0,R,1.0,45+M,09/12/2010,9.0,ITA0701,1.50@12.000,55.0
 , , , , , , , , , , , , , , , 
RAMOS ROQUE Pedro Nuno,POR,M,10E&A08,50.0,0.0,0.0,1964.0,R,2.0,45+M,09/12/2010,9.0,ITA0701,2.00@12.000,55.0
 , , , , , , , , , , , , , , , 
RAMOS ROQUE Pedro Nuno,POR,M,10IWWF02,49.5,0.0,0.0,1964.0,R,1.0,45+M,09/12/2010,17.0,ITA0701,1.50@12.000,55.0
 , , , , , , , , , , , , , , , 
RAMOS ROQUE Pedro Nuno,POR,M,10POR01,51.0,0.0,0.0,1964.0,L,1.0,All,07/25/2010,6.0,PORCIBO,3.00@12.000,55.0
 , , , , , , , , , , , , , , , 
RAMOS ROQUE Pedro Nuno,POR,M,10POR01,51.5,0.0,0.0,1964.0,L,2.0,All,07/25/2010,6.0,PORCIBO,3.50@12.000,55.0
 , , , , , , , , , , , , , , , 
RAMOS ROQUE Pedro Nuno,POR,M,10POR02,43.5,0.0,0.0,1964.0,L,1.0,-14M,09/19/2010,2.0,PORSCQG,1.50@13.000,55.0
 , , , , , , , , , , , , , , , 
RAMOS ROQUE Pedro Nuno,POR,M,10POR02,50.0,0.0,0.0,1964.0,L,2.0,-14M,09/19/2010,2.0,PORSCQG,2.00@12.000,55.0
 , , , , , , , , , , , , , , , 
RAMOS ROQUE Pedro Nuno,POR,M,10POR02,51.0,0.0,0.0,1964.0,L,3.0,-14M,09/19/2010,2.0,PORSCQG,3.00@12.000,55.0
