Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,site id
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA40,0.0,3340.0,0.0,1993.0,L,1.0,06/08/2008,FRA3002
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA40,48.5,0.0,0.0,1993.0,L,1.0,06/08/2008,FRA3002
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA40,0.0,6840.0,0.0,1993.0,L,2.0,06/08/2008,FRA3002
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA40,48.5,0.0,0.0,1993.0,L,2.0,06/08/2008,FRA3002
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA40,45.5,0.0,0.0,1993.0,L,3.0,06/08/2008,FRA3002
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA01,0.0,0.0,33.0,1993.0,R,1.0,06/22/2008,FRA0001
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA01,0.0,6830.0,0.0,1993.0,R,1.0,06/22/2008,FRA0001
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA01,42.5,0.0,0.0,1993.0,R,1.0,06/22/2008,FRA0001
CAMBRAY Iris,FRA,F,08FRA01,42.5,6830.0,33.0,1993.0,R,1.0,06/22/2008,FRA0001
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA01,0.0,6080.0,0.0,1993.0,R,2.0,06/22/2008,FRA0001
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA01,44.0,0.0,0.0,1993.0,R,2.0,06/22/2008,FRA0001
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA01,0.0,4060.0,0.0,1993.0,R,3.0,06/22/2008,FRA0001
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA09,49.0,0.0,0.0,1993.0,L,1.0,07/06/2008,FRA8705
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA09,49.0,0.0,0.0,1993.0,L,2.0,07/06/2008,FRA8705
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA09,48.5,0.0,0.0,1993.0,L,3.0,07/06/2008,FRA8705
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA10,0.0,3980.0,0.0,1993.0,L,1.0,07/14/2008,FRA8705
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA10,45.0,0.0,0.0,1993.0,L,1.0,07/14/2008,FRA8705
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA10,0.0,5330.0,0.0,1993.0,L,2.0,07/14/2008,FRA8705
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA03,0.0,0.0,30.4,1993.0,L,1.0,07/31/2008,FRA3312
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA03,0.0,6260.0,0.0,1993.0,L,1.0,07/31/2008,FRA3312
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA03,48.0,0.0,0.0,1993.0,L,1.0,07/31/2008,FRA3312
CAMBRAY Iris,FRA,F,08FRA03,48.0,6260.0,30.4,1993.0,L,1.0,07/31/2008,FRA3312
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA03,0.0,0.0,32.2,1993.0,L,2.0,07/31/2008,FRA3312
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA03,0.0,6190.0,0.0,1993.0,L,2.0,07/31/2008,FRA3312
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08FRA03,47.0,0.0,0.0,1993.0,L,2.0,07/31/2008,FRA3312
CAMBRAY Iris,FRA,F,08FRA03,47.0,6190.0,32.2,1993.0,L,2.0,07/31/2008,FRA3312
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08EAME01,0.0,0.0,32.1,1993.0,L,1.0,08/10/2008,ITA0701
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08EAME01,0.0,7040.0,0.0,1993.0,L,1.0,08/10/2008,ITA0701
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08EAME01,49.0,0.0,0.0,1993.0,L,1.0,08/10/2008,ITA0701
CAMBRAY Iris,FRA,F,08EAME01,49.0,7040.0,32.1,1993.0,L,1.0,08/10/2008,ITA0701
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08EAME01,0.0,0.0,30.5,1993.0,L,2.0,08/10/2008,ITA0701
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08EAME01,0.0,6950.0,0.0,1993.0,L,2.0,08/10/2008,ITA0701
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08EAME01,49.0,0.0,0.0,1993.0,L,2.0,08/10/2008,ITA0701
CAMBRAY Iris,FRA,F,08EAME01,49.0,6950.0,30.5,1993.0,L,2.0,08/10/2008,ITA0701
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08EAME03,0.0,6580.0,0.0,1993.0,R,1.0,08/17/2008,SWE0413
 , , , , , , , , , , , 
CAMBRAY Iris,FRA,F,08EAME03,0.0,7440.0,0.0,1993.0,R,2.0,08/17/2008,SWE0413
