Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id,line/ramp,speed
 , , , , , , , , , , , , , , , 
ALEXANDRIS Sophoklis,GRE,M,11GRE006,46.0,0.0,0.0,1993.0,L,1.0,OpeM,07/03/2011,3.0,GREKOZAN,4.00@13.000,58.0
 , , , , , , , , , , , , , , , 
ALEXANDRIS Sophoklis,GRE,M,11GRE006,41.0,0.0,0.0,1993.0,L,2.0,OpeM,07/03/2011,3.0,GREKOZAN,5.00@14.250,58.0
 , , , , , , , , , , , , , , , 
ALEXANDRIS Sophoklis,GRE,M,11GRE006,46.5,0.0,0.0,1993.0,L,3.0,OpeM,07/03/2011,3.0,GREKOZAN,4.50@13.000,58.0
 , , , , , , , , , , , , , , , 
ALEXANDRIS Sophoklis,GRE,M,11GRE003,38.0,0.0,0.0,1993.0,L,1.0,OpeM,10/09/2011,10.0,GREALIAR,2.00@14.250,58.0
 , , , , , , , , , , , , , , , 
ALEXANDRIS Sophoklis,GRE,M,11GRE003,44.5,0.0,0.0,1993.0,L,2.0,OpeM,10/09/2011,10.0,GREALIAR,2.50@13.000,58.0
