Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id,line/ramp,speed
BISHOP Kevin,USA,M,07W152R,50.0,0,0.0,73,L,1,M2,07/08/2007,3,USAW0439,2.00@12.000,58
BISHOP Kevin,USA,M,07W152R,51.25,0,0.0,73,L,2,M2,07/08/2007,3,USAW0439,3.25@12.000,58
BROWN Chris,USA,M,07W152R,54.5,0,0.0,76,L,1,M2,07/08/2007,1,USAW0439,0.50@11.250,58
BROWN Chris,USA,M,07W152R,61.0,0,0.0,76,L,2,M2,07/08/2007,1,USAW0439,1.00@10.750,58
BROWN Marcus,USA,M,07W152R,67.0,0,0.0,79,R,1,OM,07/08/2007,2,USAW0439,1.00@10.250,58
BROWN Marcus,USA,M,07W152R,67.0,0,0.0,79,R,2,OM,07/08/2007,2,USAW0439,1.00@10.250,58
BROWN Matthew,USA,M,07W152R,57.5,0,0.0,70,R,1,OM,07/08/2007,4,USAW0439,3.50@11.250,58
BROWN Matthew,USA,M,07W152R,61.5,0,0.0,70,R,2,OM,07/08/2007,4,USAW0439,1.50@10.750,58
BUSH Kara,USA,F,07W152R,45.5,0,0.0,82,L,1,W1,07/08/2007,4,USAW0439,3.50@13.000,55
BUSH Kara,USA,F,07W152R,45.5,0,0.0,82,L,2,W1,07/08/2007,4,USAW0439,3.50@13.000,55
DALEY Nina,USA,F,07W152R,45.5,0,0.0,88,L,1,W1,07/08/2007,3,USAW0439,3.50@13.000,55
DALEY Nina,USA,F,07W152R,46.5,0,0.0,88,L,2,W1,07/08/2007,3,USAW0439,4.50@13.000,55
DETRICK Brian,USA,M,07W152R,49.0,0,0.0,89,L,1,B3,07/08/2007,1,USAW0439,1.00@12.000,58
DETRICK Brian,USA,M,07W152R,45.0,0,0.0,89,L,2,B3,07/08/2007,1,USAW0439,3.00@13.000,58
FAUSOLD Janie,USA,F,07W152R,45.0,0,0.0,54,L,1,W4,07/08/2007,1,USAW0439,3.00@13.000,55
FAUSOLD Janie,USA,F,07W152R,47.0,0,0.0,54,L,2,W4,07/08/2007,1,USAW0439,5.00@13.000,55
GOLDMAN Denise,USA,F,07W152R,40.5,0,0.0,56,L,1,W4,07/08/2007,5,USAW0439,4.50@14.250,55
GROSSI Tina,USA,F,07W152R,50.0,0,0.0,66,L,1,W3,07/08/2007,1,USAW0439,2.00@12.000,55
GROSSI Tina,USA,F,07W152R,50.5,0,0.0,66,L,2,W3,07/08/2007,1,USAW0439,2.50@12.000,55
HOLM Brian,USA,M,07W152R,0.0,0,42.5,56,L,1,M4,07/08/2007,1,USAW0439,0.235,51
HOLM Brian,USA,M,07W152R,0.0,0,42.3,56,L,2,M4,07/08/2007,1,USAW0439,0.235,51
HUMPHREYS Scott,USA,M,07W152R,42.5,0,0.0,91,L,1,B3,07/08/2007,4,USAW0439,0.50@13.000,58
KELLER Sunie,USA,F,07W152R,43.0,0,0.0,56,L,2,W4,07/08/2007,4,USAW0439,1.00@13.000,55
KINNEY Brian,USA,M,07W152R,56.0,0,0.0,84,L,1,M1,07/08/2007,1,USAW0439,2.00@11.250,58
KINNEY Brian,USA,M,07W152R,0.0,0,61.1,84,L,1,OM,07/08/2007,1,USAW0439,0.271,57
KINNEY Brian,USA,M,07W152R,0.0,0,59.9,84,L,2,OM,07/08/2007,1,USAW0439,0.271,57
KINNEY Brian,USA,M,07W152R,56.5,0,0.0,84,L,2,M1,07/08/2007,1,USAW0439,2.50@11.250,58
KOMAROVA Ksenia,RUS,F,07W152R,45.5,0,0.0,82,L,1,W1,07/08/2007,2,USAW0439,3.50@13.000,55
KOMAROVA Ksenia,RUS,F,07W152R,48.0,0,0.0,82,L,2,W1,07/08/2007,2,USAW0439,6.00@13.000,55
KOSNEY Erik,USA,M,07W152R,64.0,0,0.0,73,R,1,OM,07/08/2007,3,USAW0439,4.00@10.750,58
KOSNEY Erik,USA,M,07W152R,59.0,0,0.0,73,R,2,OM,07/08/2007,3,USAW0439,5.00@11.250,58
KOSNEY Kelli,USA,F,07W152R,44.5,0,0.0,77,L,1,W2,07/08/2007,2,USAW0439,2.50@13.000,55
KOSNEY Kelli,USA,F,07W152R,43.5,0,0.0,77,L,2,W2,07/08/2007,2,USAW0439,1.50@13.000,55
KRULICKI Rick,USA,M,07W152R,51.0,0,0.0,85,L,1,M1,07/08/2007,3,USAW0439,3.00@12.000,58
KRULICKI Rick,USA,M,07W152R,52.25,0,0.0,85,L,2,M1,07/08/2007,3,USAW0439,4.25@12.000,58
KUSIAK Michael,USA,M,07W152R,51.0,0,0.0,78,L,1,M2,07/08/2007,2,USAW0439,3.00@12.000,58
KUSIAK Michael,USA,M,07W152R,55.0,0,0.0,78,L,2,M2,07/08/2007,2,USAW0439,1.00@11.250,58
MATLI Richelle,USA,F,07W152R,45.0,0,0.0,55,L,1,W4,07/08/2007,2,USAW0439,3.00@13.000,55
MATLI Richelle,USA,F,07W152R,44.0,0,0.0,55,L,2,W4,07/08/2007,2,USAW0439,2.00@13.000,55
MOORE Brian,USA,M,07W152R,61.5,0,0.0,75,R,1,OM,07/08/2007,5,USAW0439,1.50@10.750,58
MOORE Brian,USA,M,07W152R,55.5,0,0.0,75,R,2,OM,07/08/2007,5,USAW0439,1.50@11.250,58
NAGLE Brandy,USA,F,07W152R,46.5,0,0.0,75,L,1,W2,07/08/2007,1,USAW0439,4.50@13.000,55
NAGLE Brandy,USA,F,07W152R,49.0,0,0.0,75,L,2,W2,07/08/2007,1,USAW0439,1.00@12.000,55
NANTZE Matthew,USA,M,07W152R,50.5,0,0.0,88,L,1,M1,07/08/2007,2,USAW0439,2.50@12.000,58
NANTZE Matthew,USA,M,07W152R,55.0,0,0.0,88,L,2,M1,07/08/2007,2,USAW0439,1.00@11.250,58
PATO Sue,USA,F,07W152R,41.0,0,0.0,59,L,1,W4,07/08/2007,3,USAW0439,5.00@14.250,55
PATO Sue,USA,F,07W152R,43.0,0,0.0,59,L,2,W4,07/08/2007,3,USAW0439,1.00@13.000,55
PEREZ Alberto,USA,M,07W152R,50.0,0,0.0,87,L,1,M1,07/08/2007,6,USAW0439,2.00@12.000,58
PEREZ Anthony,USA,M,07W152R,49.5,0,0.0,88,L,1,M1,07/08/2007,4,USAW0439,1.50@12.000,58
PEREZ Anthony,USA,M,07W152R,50.25,0,0.0,88,L,2,M1,07/08/2007,4,USAW0439,2.25@12.000,58
SARGENT Chad,USA,M,07W152R,45.0,0,0.0,77,L,1,M2,07/08/2007,4,USAW0439,3.00@13.000,58
SARGENT Chad,USA,M,07W152R,44.0,0,0.0,77,L,2,M2,07/08/2007,4,USAW0439,2.00@13.000,58
SLIGAR Danielle,USA,F,07W152R,48.5,0,0.0,88,L,1,W1,07/08/2007,1,USAW0439,0.50@12.000,55
SLIGAR Danielle,USA,F,07W152R,45.5,0,0.0,88,L,2,W1,07/08/2007,1,USAW0439,3.50@13.000,55
STORELEE Richard,USA,M,07W152R,57.0,0,0.0,57,L,1,MM,07/08/2007,4,USAW0439,3.00@11.250,58
STORELEE Richard,USA,M,07W152R,56.5,0,0.0,57,L,2,MM,07/08/2007,4,USAW0439,2.50@11.250,58
WINTER Terry,USA,M,07W152R,67.5,0,0.0,79,R,1,OM,07/08/2007,1,USAW0439,1.50@10.250,58
WINTER Terry,USA,M,07W152R,67.5,0,0.0,79,R,2,OM,07/08/2007,1,USAW0439,1.50@10.250,58
WINTTER Luke,USA,M,07W152R,42.5,0,0.0,89,L,1,B3,07/08/2007,2,USAW0439,0.50@13.000,58
WINTTER Luke,USA,M,07W152R,45.5,0,0.0,89,L,2,B3,07/08/2007,2,USAW0439,3.50@13.000,58
WINTTER Skip,USA,M,07W152R,0.0,0,42.3,87,L,1,M1,07/08/2007,1,USAW0439,0.255,57
WINTTER Skip,USA,M,07W152R,49.0,0,0.0,87,L,1,M1,07/08/2007,5,USAW0439,1.00@12.000,58
WINTTER Skip,USA,M,07W152R,0.0,0,48.0,87,L,2,M1,07/08/2007,1,USAW0439,0.255,57
WINTTER Skip,USA,M,07W152R,50.0,0,0.0,87,L,2,M1,07/08/2007,5,USAW0439,2.00@12.000,58
YAGER Tyler,USA,M,07W152R,43.5,0,0.0,92,L,2,B3,07/08/2007,3,USAW0439,1.50@13.000,58
