Name,Country,sex,tour,sl,tr,ju,yob,class,round,div,date,place,site id,line/ramp,speed
 , , , , , , , , , , , , , , , 
SCHERER Phillip,GER,M,11GER001,39.0,0.0,0.0,1967.0,L,2.0,35+M,06/26/2011,6.0,GERAMBE,3.00@14.250,55.0
 , , , , , , , , , , , , , , , 
SCHERER Phillip,GER,M,11GER001,39.0,0.0,0.0,1967.0,L,2.0,35+M,06/26/2011,6.0,GERAMBE,3.00@14.250,55.0
 , , , , , , , , , , , , , , , 
SCHERER Phillip,GER,M,11GER002,35.0,0.0,0.0,1968.0,L,2.0,35+M,07/10/2011,2.0,GERBREM,5.00@16.000,55.0
 , , , , , , , , , , , , , , , 
SCHERER Phillip,GER,M,11GER001,35.0,0.0,0.0,1967.0,L,1.0,35+M,06/26/2011,6.0,GERAMBE,5.00@16.000,55.0
 , , , , , , , , , , , , , , , 
SCHERER Phillip,GER,M,11GER001,35.0,0.0,0.0,1967.0,L,1.0,35+M,06/26/2011,6.0,GERAMBE,5.00@16.000,55.0
 , , , , , , , , , , , , , , , 
SCHERER Phillip,GER,M,11GER002,34.0,0.0,0.0,1968.0,L,1.0,35+M,07/10/2011,2.0,GERBREM,4.00@16.000,55.0
 , , , , , , , , , , , , , , , 
SCHERER Phillip,GER,M,11GER001,29.0,0.0,0.0,1967.0,L,3.0,35+M,06/26/2011,6.0,GERAMBE,5.00@18.250,55.0
 , , , , , , , , , , , , , , , 
SCHERER Phillip,GER,M,11GER001,29.0,0.0,0.0,1967.0,L,3.0,35+M,06/26/2011,6.0,GERAMBE,5.00@18.250,55.0
 , , , , , , , , , , , , , , , 
SCHERER Phillip,GER,M,11GER001,0.0,0.0,28.0,1967.0,L,2.0,35+M,06/26/2011,3.0,GERAMBE,0.255,57.0
 , , , , , , , , , , , , , , , 
SCHERER Phillip,GER,M,11GER001,0.0,0.0,28.0,1967.0,L,2.0,35+M,06/26/2011,3.0,GERAMBE,0.255,57.0
 , , , , , , , , , , , , , , , 
SCHERER Phillip,GER,M,11GER002,0.0,0.0,27.3,1968.0,L,1.0,35+M,07/10/2011,2.0,GERBREM,0.255,57.0
 , , , , , , , , , , , , , , , 
SCHERER Phillip,GER,M,11GER001,0.0,0.0,26.8,1967.0,L,1.0,35+M,06/26/2011,3.0,GERAMBE,0.255,57.0
 , , , , , , , , , , , , , , , 
SCHERER Phillip,GER,M,11GER001,0.0,0.0,26.8,1967.0,L,1.0,35+M,06/26/2011,3.0,GERAMBE,0.255,57.0
SCHERER Phillip,GER,M,11GER002,0.0,0.0,0.0,1968.0,L,2.0,35+M,07/10/2011,2.0,GERBREM,0.00@0.255,57.0
