Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,site id
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09CAN33,0.0,0.0,59.6,1984.0,R,1.0,08/09/2009,CAN7733
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09CAN33,0.0,5610.0,0.0,1984.0,R,1.0,08/09/2009,CAN7733
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09IWSF02,0.0,0.0,59.6,1984.0,R,1.0,08/09/2009,CAN7733
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09IWSF02,0.0,5610.0,0.0,1984.0,R,1.0,08/09/2009,CAN7733
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09EAME04,0.0,0.0,59.5,1984.0,R,1.0,08/23/2009,DEN01VVK
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09EAME04,0.0,5460.0,0.0,1984.0,R,1.0,08/23/2009,DEN01VVK
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09EAME04,52.5,0.0,0.0,1984.0,R,1.0,08/23/2009,DEN01VVK
MORENO DE CARLOS Guillermo,ESP,M,09EAME04,52.5,5460.0,59.5,1984.0,R,1.0,08/23/2009,DEN01VVK
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09EAME04,0.0,0.0,60.9,1984.0,R,2.0,08/23/2009,DEN01VVK
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09FRA19,0.0,0.0,63.3,1984.0,R,1.0,06/21/2009,FRA3303
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09FRA19,0.0,0.0,62.2,1984.0,R,2.0,06/21/2009,FRA3303
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09GBR17,0.0,0.0,65.1,1984.0,L,2.0,08/27/2009,GBRHAZEL
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09GBR17,0.0,0.0,63.3,1984.0,L,3.0,08/27/2009,GBRHAZEL
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09GBR17,0.0,0.0,64.8,1984.0,L,4.0,08/27/2009,GBRHAZEL
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09GBR19,0.0,0.0,60.7,1984.0,R,1.0,08/30/2009,GBRLIQUI
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09GBR19,0.0,0.0,60.1,1984.0,R,2.0,08/30/2009,GBRLIQUI
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09ITA06,0.0,0.0,59.9,1984.0,R,1.0,07/12/2009,ITAFISN1
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09ITA06,0.0,0.0,61.2,1984.0,R,2.0,07/12/2009,ITAFISN1
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09ITA06,0.0,0.0,63.2,1984.0,R,3.0,07/12/2009,ITAFISN1
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09EAME01,0.0,4510.0,0.0,1984.0,R,1.0,06/29/2009,ITAPESCA
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09EAME01,0.0,4810.0,0.0,1984.0,R,2.0,06/29/2009,ITAPESCA
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09POL03,0.0,0.0,52.5,1984.0,L,1.0,07/26/2009,POLAUG1
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09POL03,0.0,0.0,56.1,1984.0,L,2.0,07/26/2009,POLAUG1
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09C039R,0.0,0.0,63.1,1984.0,R,1.0,11/01/2008,USAC0071
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09C039R,0.0,0.0,63.2,1984.0,R,2.0,11/01/2008,USAC0071
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09C039R,0.0,0.0,62.1,1984.0,R,3.0,11/01/2008,USAC0071
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09C053R,0.0,0.0,62.0,1984.0,R,1.0,04/19/2009,USAC0071
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09C053R,46.0,0.0,0.0,1984.0,L,1.0,04/19/2009,USAC0071
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09C053R,0.0,0.0,65.5,1984.0,R,2.0,04/19/2009,USAC0071
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09C053R,0.0,4590.0,0.0,1984.0,R,2.0,04/19/2009,USAC0071
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09C053R,0.0,0.0,62.2,1984.0,R,3.0,04/19/2009,USAC0071
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09C054R,0.0,0.0,61.6,1984.0,R,1.0,04/26/2009,USAC0071
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09C054R,0.0,0.0,62.7,1984.0,R,2.0,04/26/2009,USAC0071
 , , , , , , , , , , , 
MORENO DE CARLOS Guillermo,ESP,M,09C054R,0.0,0.0,64.2,1984.0,R,3.0,04/26/2009,USAC0071
